SX,SY,SZ,EX,EY,EZ,Dia,Name
246885.3,250341.2,74591.7,234799.3,250344.6,74482.9,131.0,BATP01
234799.3,250344.6,74482.9,210559.8,250332.6,74321.1,131.0,BATP02
210559.8,250332.6,74321.1,197274.4,250328.1,74232.1,131.0,BATP03
197274.4,250328.1,74232.1,176855.6,250332.9,74095.9,131.0,BATP04
176855.6,250332.9,74095.9,166624.6,250332.8,74027.9,131.0,BATP05
166624.6,250332.8,74027.9,142733.4,250332.7,73868.9,131.0,BATP06
142733.4,250332.7,73868.9,128504.8,250332.6,73774.0,131.0,BATP07
128504.8,250332.6,73774.0,107592.8,250571.0,73634.2,131.0,BATP08
107592.8,250571.0,73634.2,98336.1,250332.5,73572.1,131.0,BATP09
98336.1,250332.5,73572.1,74879.6,250332.3,73415.8,131.0,BATP10
74879.6,250332.3,73415.8,59093.9,250332.3,73310.9,131.0,BATP11
59093.9,250332.3,73310.9,47000.6,250332.2,73230.3,131.0,BATP12
246885.7,227163.7,74909.7,246885.3,250341.2,74591.7,90.0,Pipe491
248935.1,232239.0,76300.0,247426.4,232238.8,76281.1,90.0,Pipe492
234799.3,227171.2,74922.1,234799.3,248298.7,74658.0,90.0,Pipe493
231906.3,227162.5,76300.0,233930.8,227167.1,76209.7,90.0,Pipe495
210342.9,227160.5,74873.5,210342.5,249094.2,74600.0,90.0,Pipe496
198198.2,227700.0,74771.2,198198.2,249404.4,74500.0,90.0,Pipe497
197265.7,232234.5,76300.0,197994.5,232230.2,76290.9,90.0,Pipe498
195305.2,227159.3,76183.5,197945.1,227161.9,76142.5,90.0,Pipe499
180655.1,232232.5,76300.0,180213.5,232224.8,76294.2,90.0,Pipe501
166624.6,227163.0,74526.0,166624.6,248363.3,74420.0,90.0,Pipe502
141020.5,227283.5,74655.5,142795.3,242561.4,74578.6,90.0,Pipe503
130076.8,227176.1,74524.3,130076.4,248028.4,74420.0,90.0,Pipe504
110705.8,227205.7,73938.8,110705.4,247193.6,73689.2,90.0,Pipe505
98786.8,227156.5,73862.3,98786.7,249178.5,73587.0,90.0,Pipe506
74880.0,227202.7,73705.1,74879.6,250332.3,73415.8,90.0,Pipe507
61260.3,227155.1,73611.6,61260.2,248165.9,73349.1,90.0,Pipe508
58771.3,227146.3,76300.0,60904.8,227157.1,75400.0,90.0,Pipe510
76603.5,232219.8,76300.0,75420.4,232223.1,76285.1,90.0,Pipe511
97854.2,232223.0,76300.0,98245.8,232223.1,76295.1,90.0,Pipe512
95721.6,227147.8,76300.0,98246.2,227147.9,76268.2,90.0,Pipe513
112755.2,232221.9,76300.0,111246.2,232226.2,75673.0,90.0,Pipe514
129190.0,232220.6,76300.0,130003.2,232202.3,76312.5,90.0,Pipe515
127393.1,227151.1,76138.0,130030.4,227128.4,76121.2,90.0,Pipe516
144166.5,232238.3,76300.0,143336.0,232238.4,76272.8,90.0,Pipe517
163621.5,227154.3,76300.0,166084.1,227154.4,76254.3,90.0,Pipe519
212066.5,232232.6,76300.0,210883.3,232235.9,76248.4,90.0,Pipe520
246885.6,233765.5,74827.2,247426.4,232238.8,76281.1,90.0,Pipe521
198198.2,249404.4,74500.0,197274.4,250328.1,74232.1,90.0,Pipe497 (1)
110705.4,247193.6,73689.2,107592.8,250571.0,73634.2,90.0,Pipe505 (1)
61260.2,248165.9,73349.1,59093.9,250332.3,73310.9,90.0,Pipe524
98786.7,249178.5,73587.5,98336.1,250332.5,73572.1,90.0,Pipe525
179344.3,247923.4,74700.0,176855.6,250332.9,74095.9,90.0,Pipe531
234799.3,232283.4,74858.2,234046.6,232237.8,76158.1,90.0,Pipe532
61260.3,227999.9,73601.1,60904.8,227157.1,75400.0,90.0,Pipe542
61260.3,233202.8,73536.0,60484.9,232919.5,75999.3,90.0,Pipe543
234799.3,227656.3,74916.1,233930.8,227167.1,76209.7,90.0,Pipe548
210342.5,249094.2,74600.0,210559.8,250332.6,74321.1,90.0,Pipe551
166624.6,227649.8,74523.6,166084.1,227154.4,76254.3,90.0,Pipe557
166624.6,232293.6,74500.3,165907.9,232229.6,76145.4,90.0,Pipe558
130076.7,233188.1,74494.2,130003.2,232202.3,76312.5,90.0,Pipe560
130076.8,228396.8,74518.2,130030.4,227128.4,76121.2,90.0,Pipe561
110705.7,232406.1,73873.8,111246.2,232226.2,75673.0,90.0,Pipe563
98786.7,232763.7,73792.2,98245.8,232223.1,76295.1,90.0,Pipe564
98786.8,227688.5,73855.6,98246.2,227147.9,76268.2,90.0,Pipe565
74879.9,232757.3,73635.7,75420.4,232223.1,76285.1,90.0,Pipe566
141671.5,232887.0,74627.3,143026.7,232360.8,74650.4,90.0,Pipe567
141124.8,228181.3,74651.0,141373.7,228015.0,76190.6,90.0,Pipe569
130076.4,248028.4,74420.0,128504.8,250332.6,73774.0,90.0,Pipe573
198198.2,233173.5,74702.9,197994.5,232230.2,76290.9,90.0,Pipe574
210342.8,236482.7,74757.2,210883.3,232235.9,76248.4,90.0,Pipe577
198198.2,227700.0,74771.2,197945.1,227161.9,76142.5,90.0,Pipe578
47000.6,250332.2,73230.3,42250.3,251029.4,73198.2,131.0,BATP13
42250.3,251029.4,73198.2,39527.3,251029.4,73179.8,131.0,BATP14
179344.3,247923.4,74700.0,179164.8,234218.0,74871.2,90.0,Pipe581
179164.8,234218.0,74871.2,180213.5,232224.8,76294.2,90.0,Pipe584
142795.3,242561.4,74578.6,143813.8,243425.7,74440.6,90.0,Pipe503 (1)
143813.8,243425.7,74440.6,143682.0,249228.5,74320.0,90.0,Pipe503 (1) (1)
143682.0,249228.5,74320.0,142733.4,250332.7,73868.9,90.0,Pipe503 (1) (1) (1)
141373.7,228015.0,76190.6,142443.0,227148.6,76210.0,90.0,Pipe585
143026.7,232360.8,74650.4,143336.0,232238.4,76272.8,90.0,Pipe567 (1)
166624.6,248363.3,74420.0,166624.6,250332.8,74027.9,90.0,Pipe502 (1)
234799.3,248298.7,74658.0,234799.3,250344.6,74482.9,90.0,Pipe493 (1)
60484.9,232919.5,75999.3,60568.2,232214.1,76111.0,90.0,Pipe543 (1)
179164.8,234218.0,74871.2,179083.3,227993.8,74948.9,90.0,Pipe586
179083.3,227993.8,74948.9,178605.8,227157.2,76300.0,90.0,Pipe587
